Repositories,Link
Generative_AI,https://github.com/v26199/Generative_AI
ML_Projects,https://github.com/v26199/ML_Projects
E-Commerce-Product-Recommodation,https://github.com/v26199/E-Commerce-Product-Recommodation
Credit-card-financial-dashboard-using-Power-BI,https://github.com/v26199/Credit-card-financial-dashboard-using-Power-BI
churn_prediction_lazyclassifier_93-accuracy,https://github.com/v26199/churn_prediction_lazyclassifier_93-accuracy
RAG-using-Ollama-on-Gemma-7B-LLMs,https://github.com/v26199/RAG-using-Ollama-on-Gemma-7B-LLMs
LLMs_finetunning,https://github.com/v26199/LLMs_finetunning
NLP_Projects,https://github.com/v26199/NLP_Projects
facemask-detection,https://github.com/v26199/facemask-detection
heart-disease-prediction,https://github.com/v26199/heart-disease-prediction
Data-Science-Resources,https://github.com/v26199/Data-Science-Resources
MediMate,https://github.com/v26199/MediMate
MCQGenerator_Langchain,https://github.com/v26199/MCQGenerator_Langchain
construction-safety-object-detection,https://github.com/v26199/construction-safety-object-detection
AutoML_Tools,https://github.com/v26199/AutoML_Tools
Mastering_Jupyter,https://github.com/v26199/Mastering_Jupyter
filter-based-feature-selection,https://github.com/v26199/filter-based-feature-selection
HotelAsssist-Chatbot,https://github.com/v26199/HotelAsssist-Chatbot
